Smiles	ID
COCC(=O)NC=1C=CC=C(NC(=O)C)C1	Z31735562
CCC(=O)NC1CCNC1	Z1650040241
COCC(=O)NC1=NN=C(C)S1	Z263785508
CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1	Z275181224
COC=1C=CC(NC=2N=CN=C3NC=NC23)=CC1	Z276545932
CN1CCN(CC1)C(=O)C2CCCN2	Z241832786
ClC=1C=CC(=CC1)C(=O)N2CCSCC2	Z437584380
CCC1=CC=C(S1)C(=O)NCC=2C=NN(C)C2	Z804566442
NC(=O)C1CCN(CCC=2C=CC=CC2)CC1	Z2856434897
O=C(N1CCCCCC1)C=2C=CC=3OCOC3C2	Z31432226
NC(=O)C=1C=CC(OCC=2C=CC=CC2)=CC1	Z26312102
O[C@@H]1CCN(CC=2C=CC(Cl)=CC2)C1	Z2856434858
OCC=1C=CC(=CC1)N2C=NC=3C=CC=CC23	Z235449082
CN1C=CC(NCC=2C=CC=CC2)=N1	Z1401333862
NC(=O)C=1C=NC(=NC1)C(F)(F)F	Z1745658474
C(CC=1C=CC=CC1)NC2=NC=3C=CC=CC3N2	Z57299529
O=C1NC=C(NCC=2C=CC=CC2)C(=O)N1	Z111666026
CC=1N=CC=C(N1)N2CCC(N)CC2	Z1333043417
CN1C=C(C(=O)O)C(=N1)C=2C=CN=CC2	Z815264062
CN(C)C(=O)OCCN1C=CN=C1	Z1722836661
NC(=O)C1CCN(CC1)C(=O)CC#N	Z57627041
CNC(C)C=1C=NN(C)C1	Z1437171658
CC(=O)NC(C1CCOCC1)C(=O)O	Z1891772663
CC(N)CN1CCOCC1	Z818732104
Cl.COC=1C=CC(C)=CC1NC(=O)CN	Z235341991
Cl.CC(C)(O)CN1CC[C@H](N)C1	Z2429435052
CS(=O)(=O)N1CCC(O)CC1	Z1247413608
CC1CCCCN1CCN	Z1245580425
CC(=O)NC=1C=C(C=CC1F)C(=O)O	Z364328788
NC(=O)N1CCN(CC1)C=2C=CC(F)=CC2	Z198194394
CNC=1C=CC=CC1S(=O)(=O)C	Z285782452
CC(=O)NCC1CNCCO1	Z1269638430
CC(C)NC1=NC=2C=CC=CC2N1	Z2467208649
CC(C)C1=NN=C(NCC(C)(C)C)S1	Z1461982627
NC(=O)C=1C=CC(NC(=O)C=2C=CC=CC2)=CC1	Z30242076
OCCN1CCOCC1	Z2856434843
NC(=O)C1CCC(F)(F)CC1	Z1526748660
CC(C)CC(=O)NCC=1C=CC=2OCOC2C1	Z27695365
CC(=O)N1CC=2C=CC(N)=CC2C1	Z1354416068
CN(C)CC1=NC(=NO1)C2(N)CCCC2	Z1259339735
COC=1C=CC=NC1C#N	Z1955122823
FC=1C=CC=C(CNCC2=CC=CO2)C1	Z2737076969
COC=1C=CC=CC1C2=NN=CO2	Z1359419878
CNC(=O)C1CNCCO1	Z1636723439
COC=1C=C(C=C(OC)C1OC)C(=O)O	Z2734782702
