smiles idnumber mw hac
O=C(CNC1=CC=CC=C1F)NC1=CC=CC=C1F Z30968489 262.259 19
N#CC1=CC(NCC(=O)NC2=CC=CC=C2F)=CC=C1 Z30994332 269.279 20
COC1=CC=CC=C1N1CCN(CC(=O)NC2=CC=CC=C2F)CC1 Z30957239 343.402 25
O=C(CN1CCN(C2=CC=C(F)C=C2)CC1)NC1=CC=CC=C1F Z30979117 331.366 24
CC(=O)NC1=CC=C(NC(=O)C2CCN(S(=O)(=O)C3=CC=C(Cl)C=C3)CC2)C=C1 Z27653182 435.933 29
CC(C)C(=O)NC1=CC=C(NC(=O)C2=CC=C(C(C)C)C=C2)C=C1 Z27629181 324.424 24
CC(C)C(=O)NC1=CC=C(NC(=O)C2=CC=C3C=CC=CC3=C2)C=C1 Z27629189 332.403 25
CC1=C(C)C2=C(NCC3=CC=CC=C3F)N=C(CN3CCCC3)N=C2S1 Z31121160 370.497 26
CC1=C(C)C2=C(NCC3=CC=CO3)N=C(CN3CCCC3)N=C2S1 Z31192402 342.468 24
CC1=C(C)C2=C(N3CCC4=CC=CC=C4C3)N=C(CN3CCCC3)N=C2S1 Z31194648 378.545 27
COC1=CC=CC=C1N1CCN(C2=NC(CN3CCCC3)=NC3=C2C(C)=C(C)S3)CC1 Z31196136 437.613 31
CC1=C(C)C2=C(N=C(CN3CCCC3)N=C2N(C)CC2=CC=CC=C2)S1 Z31196632 366.534 26
CC1=C(C)C2=C(NCC3=CC=CC=C3)N=C(CN3CCCC3)N=C2S1 Z31197050 352.507 25
CC1=C(C)C2=C(NCC3CCCO3)N=C(CN3CCCC3)N=C2S1 Z31198956 346.500 24
CC1=C(C)C2=C(N=C(CN3CCCC3)N=C2N2CCCC(C)C2)S1 Z31205544 344.528 24
CC(=O)N1CCN(C2=NC(CN3CCCC3)=NC3=C2C(C)=C(C)S3)CC1 Z31212706 373.526 26
CC1=C(C)C2=C(NC3CC3)N=C(CN3CCCC3)N=C2S1 Z31232982 302.447 21
COC1=CC=C(CNC2=NC(CN3CCCC3)=NC3=C2C(C)=C(C)S3)C=C1 Z31235242 382.533 27
CC1=C(C)C2=C(NCC3=CC=C(S(N)(=O)=O)C=C3)N=C(CN3CCCC3)N=C2S1 Z31241016 431.587 29
CC1=C(C)C2=C(N3CCCC(CO)C3)N=C(CN3CCCC3)N=C2S1 Z31255526 360.527 25
CC1=C(C)C2=C(NCC3=CC=C(F)C=C3)N=C(CN3CCCC3)N=C2S1 Z31255774 370.497 26
CC1=C(C)C2=C(N=C(CN3CCCC3)N=C2N2CCCCC2C)S1 Z31262228 344.528 24
CCN1CCN(CC(O)COC2=CC=CC=C2C(C)C)CC1 Z31369534 306.450 22
COC1=CC=C(C2=CSC(NC(=O)C3=CC=CC(C)=C3)=N2)C=C1 Z27852516 324.405 23
COC1=CC=CC=C1N1CCN(C(=O)C2CCN(S(=O)(=O)C3=CC=C(Cl)C=C3)CC2)CC1 Z27736501 478.014 32
O=C(NC1=CC=CC(Cl)=C1)C1CCN(S(=O)(=O)C2=CC=C(Cl)C=C2)CC1 Z28140333 413.326 26
