SMILES	SMILES_CANONICAL	MOLPORTID	STANDARD_INCHI	INCHIKEY	PRICERANGE_1MG	PRICERANGE_5MG	PRICERANGE_50MG	BEST_LEAD_TIME
Cl.CC(N)=NN	Cl.CC(N)=NN	MolPort-000-000-273	InChI=1S/C2H7N3.ClH/c1-2(3)5-4;/h4H2,1H3,(H2,3,5);1H	BDJHVZSZVZKIRK-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	10
COC1=C(O)C=CC(=C1)C(C)=O	COc1cc(ccc1O)C(C)=O	MolPort-000-000-274	InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3	DFYRUELUNQRZTB-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(=O)C1=NC=CC=C1N	CC(=O)c1ncccc1N	MolPort-000-000-275	InChI=1S/C7H8N2O/c1-5(10)7-6(8)3-2-4-9-7/h2-4H,8H2,1H3	OCTRKCGAMLAULG-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
C=CCOC1=C(C=O)C=CC=C1	C=CCOc1ccccc1C=O	MolPort-000-000-277	InChI=1S/C10H10O2/c1-2-7-12-10-6-4-3-5-9(10)8-11/h2-6,8H,1,7H2	BXCJDECTRRMSCV-UHFFFAOYSA-N	< 50	< 50	< 50	2
OC1=C(C=O)C=CC=C1CC=C	Oc1c(CC=C)cccc1C=O	MolPort-000-000-278	InChI=1S/C10H10O2/c1-2-4-8-5-3-6-9(7-11)10(8)12/h2-3,5-7,12H,1,4H2	INLWEXRRMUMHKB-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=NC=C(Br)N=C1	Nc1cnc(Br)cn1	MolPort-000-000-280	InChI=1S/C4H4BrN3/c5-3-1-8-4(6)2-7-3/h1-2H,(H2,6,8)	KRRTXVSBTPCDOS-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1CCCCC1C(O)=O	NC1CCCCC1C(O)=O	MolPort-000-000-282	InChI=1S/C7H13NO2/c8-6-4-2-1-3-5(6)7(9)10/h5-6H,1-4,8H2,(H,9,10)	USQHEVWOPJDAAX-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	5
NC1=C(N=CC=C1)C(O)=O	Nc1cccnc1C(O)=O	MolPort-000-000-285	InChI=1S/C6H6N2O2/c7-4-2-1-3-8-5(4)6(9)10/h1-3H,7H2,(H,9,10)	BOOMHTFCWOJWFO-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1CCC2=CC=CC=C2NC1=O	NC1CCc2ccccc2NC1=O	MolPort-000-000-286	InChI=1S/C10H12N2O/c11-8-6-5-7-3-1-2-4-9(7)12-10(8)13/h1-4,8H,5-6,11H2,(H,12,13)	AUAKXRGQXZRTQC-UHFFFAOYSA-N	50 - 100	50 - 100	50 - 100	4
NC1=CC=C2CCCC(=O)NC2=C1	Nc1ccc2CCCC(=O)Nc2c1	MolPort-000-000-287	InChI=1S/C10H12N2O/c11-8-5-4-7-2-1-3-10(13)12-9(7)6-8/h4-6H,1-3,11H2,(H,12,13)	XRJMPABWIZHNQA-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCCC(N)C1	CC(C)(C)OC(=O)N1CCCC(N)C1	MolPort-000-000-289	InChI=1S/C10H20N2O2/c1-10(2,3)14-9(13)12-6-4-5-8(11)7-12/h8H,4-7,11H2,1-3H3	AKQXKEBCONUWCL-UHFFFAOYSA-N	< 50	< 50	< 50	2
CC(C)(C)OC(=O)N1CCC(N)CC1	CC(C)(C)OC(=O)N1CCC(N)CC1	MolPort-000-000-290	InChI=1S/C10H20N2O2/c1-10(2,3)14-9(13)12-6-4-8(11)5-7-12/h8H,4-7,11H2,1-3H3	LZRDHSFPLUWYAX-UHFFFAOYSA-N	< 50	< 50	< 50	2
NC1=CC=CN=C1C#N	Nc1cccnc1C#N	MolPort-000-000-291	InChI=1S/C6H5N3/c7-4-6-5(8)2-1-3-9-6/h1-3H,8H2	KMHCTFSFWQRZTR-UHFFFAOYSA-N	< 50	< 50	< 50	5
NC1(CCCCCC1)C(O)=O	NC1(CCCCCC1)C(O)=O	MolPort-000-000-293	InChI=1S/C8H15NO2/c9-8(7(10)11)5-3-1-2-4-6-8/h1-6,9H2,(H,10,11)	IINRZEIPFQHEAP-UHFFFAOYSA-N	< 50	< 50	50 - 100	5
NC1(CCCC1)C(O)=O	NC1(CCCC1)C(O)=O	MolPort-000-000-295	InChI=1S/C6H11NO2/c7-6(5(8)9)3-1-2-4-6/h1-4,7H2,(H,8,9)	NILQLFBWTXNUOE-UHFFFAOYSA-N	< 50	< 50	< 50	2
CN1C=NC2=C(N)C=CC=C12	Cn1cnc2c(N)cccc12	MolPort-000-000-297	InChI=1S/C8H9N3/c1-11-5-10-8-6(9)3-2-4-7(8)11/h2-5H,9H2,1H3	ZMGUPDYARSYEFP-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
Cl.CC(C)(CCN)C(O)=O	Cl.CC(C)(CCN)C(O)=O	MolPort-000-000-298	InChI=1S/C6H13NO2.ClH/c1-6(2,3-4-7)5(8)9;/h3-4,7H2,1-2H3,(H,8,9);1H	FBYVPNQCVJSPPQ-UHFFFAOYSA-N	100 - 250	100 - 250	100 - 250	5
