SMILES	SMILES_CANONICAL	MOLPORTID	STANDARD_INCHI	INCHIKEY	PRICERANGE_1MG	PRICERANGE_5MG	PRICERANGE_50MG	BEST_LEAD_TIME
FC1=CC=CC(=C1)N1N=NN=C1SCC(=O)N1CCC2=C1C=CC=C2	Fc1cccc(c1)-n1nnnc1SCC(=O)N1CCc2ccccc12	MolPort-000-060-988	InChI=1S/C17H14FN5OS/c18-13-5-3-6-14(10-13)23-17(19-20-21-23)25-11-16(24)22-9-8-12-4-1-2-7-15(12)22/h1-7,10H,8-9,11H2	YKJBSAWCHZHYPD-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CC1CC2=C(C=CC=C2)N1C(=O)CSC1=NN=NN1C1=CC(F)=CC=C1	CC1Cc2ccccc2N1C(=O)CSc1nnnn1-c1cccc(F)c1	MolPort-000-060-989	InChI=1S/C18H16FN5OS/c1-12-9-13-5-2-3-8-16(13)23(12)17(25)11-26-18-20-21-22-24(18)15-7-4-6-14(19)10-15/h2-8,10,12H,9,11H2,1H3	MWSMHMHJUAQUPB-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
FC1=CC=CC(=C1)N1N=NN=C1SCC(=O)NCC1=CC=C2OCOC2=C1	Fc1cccc(c1)-n1nnnc1SCC(=O)NCc1ccc2OCOc2c1	MolPort-000-060-990	InChI=1S/C17H14FN5O3S/c18-12-2-1-3-13(7-12)23-17(20-21-22-23)27-9-16(24)19-8-11-4-5-14-15(6-11)26-10-25-14/h1-7H,8-10H2,(H,19,24)	JLYYCWIHOOZOOK-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
FC1=CC=CC(=C1)N1N=NN=C1SCC(=O)NC1=CC=C2OCCOC2=C1	Fc1cccc(c1)-n1nnnc1SCC(=O)Nc1ccc2OCCOc2c1	MolPort-000-060-992	InChI=1S/C17H14FN5O3S/c18-11-2-1-3-13(8-11)23-17(20-21-22-23)27-10-16(24)19-12-4-5-14-15(9-12)26-7-6-25-14/h1-5,8-9H,6-7,10H2,(H,19,24)	TVKMCRXUJIHCNM-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
FC1=CC=CC(=C1)N1N=NN=C1SCC(=O)NC1=CC=C2OCOC2=C1	Fc1cccc(c1)-n1nnnc1SCC(=O)Nc1ccc2OCOc2c1	MolPort-000-060-993	InChI=1S/C16H12FN5O3S/c17-10-2-1-3-12(6-10)22-16(19-20-21-22)26-8-15(23)18-11-4-5-13-14(7-11)25-9-24-13/h1-7H,8-9H2,(H,18,23)	VARRPZLGUYKSDZ-UHFFFAOYSA-N	50 - 100	50 - 100	100 - 250	10
CN1C2=CC=C(C)C=C2C(C)=C1C(O)=O	Cc1c(C(O)=O)n(C)c2ccc(C)cc12	MolPort-000-061-151	InChI=1S/C12H13NO2/c1-7-4-5-10-9(6-7)8(2)11(12(14)15)13(10)3/h4-6H,1-3H3,(H,14,15)	ORZQQOIVPVKEIS-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
COC1=CC=C2N(C)C(C(O)=O)=C(C)C2=C1	COc1ccc2n(C)c(C(O)=O)c(C)c2c1	MolPort-000-061-152	InChI=1S/C12H13NO3/c1-7-9-6-8(16-3)4-5-10(9)13(2)11(7)12(14)15/h4-6H,1-3H3,(H,14,15)	YIJZWIPPIODAAK-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
CN1C2=CC=C(Cl)C=C2C(C)=C1C(O)=O	Cc1c(C(O)=O)n(C)c2ccc(Cl)cc12	MolPort-000-061-153	InChI=1S/C11H10ClNO2/c1-6-8-5-7(12)3-4-9(8)13(2)10(6)11(14)15/h3-5H,1-2H3,(H,14,15)	YWHLWJBYLZEDNM-UHFFFAOYSA-N	< 50	< 50	50 - 100	10
O=C(CN1CCOCC1)NC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1	O=C(CN1CCOCC1)Nc1ccc(NC(=O)c2ccccc2)cc1	MolPort-000-061-213	InChI=1S/C19H21N3O3/c23-18(14-22-10-12-25-13-11-22)20-16-6-8-17(9-7-16)21-19(24)15-4-2-1-3-5-15/h1-9H,10-14H2,(H,20,23)(H,21,24)	JDRDBNVQTFPBEB-UHFFFAOYSA-N	< 50	< 50	100 - 250	10
FC1=C(C=CC=C1)C(=O)NC1=CC=C(NC(=O)CN2CCOCC2)C=C1	Fc1ccccc1C(=O)Nc1ccc(NC(=O)CN2CCOCC2)cc1	MolPort-000-061-215	InChI=1S/C19H20FN3O3/c20-17-4-2-1-3-16(17)19(25)22-15-7-5-14(6-8-15)21-18(24)13-23-9-11-26-12-10-23/h1-8H,9-13H2,(H,21,24)(H,22,25)	JMUZFNVOOSKTSM-UHFFFAOYSA-N	< 50	< 50	100 - 250	10
FC1=CC=CC(=C1)C(=O)NC1=CC=C(NC(=O)CN2CCOCC2)C=C1	Fc1cccc(c1)C(=O)Nc1ccc(NC(=O)CN2CCOCC2)cc1	MolPort-000-061-216	InChI=1S/C19H20FN3O3/c20-15-3-1-2-14(12-15)19(25)22-17-6-4-16(5-7-17)21-18(24)13-23-8-10-26-11-9-23/h1-7,12H,8-11,13H2,(H,21,24)(H,22,25)	UCSOKCCUNAJFMC-UHFFFAOYSA-N	< 50	< 50	50 - 100	12
CCC(C)NC(=S)N1CCN(CC2=CC=CC=C2)CC1	CCC(C)NC(=S)N1CCN(Cc2ccccc2)CC1	MolPort-000-061-256	InChI=1S/C16H25N3S/c1-3-14(2)17-16(20)19-11-9-18(10-12-19)13-15-7-5-4-6-8-15/h4-8,14H,3,9-13H2,1-2H3,(H,17,20)	ATHVMPMAUINGHF-UHFFFAOYSA-N	< 50	< 50	100 - 250	2
