OSMILES	ISO_SMILES	NONISO_SMILES	HAC	CMPD_ID
COCC(=O)NC=1C=CC=C(NC(=O)C)C1	COCC(=O)Nc1cccc(NC(C)=O)c1	COCC(=O)Nc1cccc(NC(C)=O)c1	16	XCHEM:Z31735562
CCC(=O)NC1CCNC1	CCC(=O)NC1CCNC1	CCC(=O)NC1CCNC1	10	XCHEM:Z1650040241
COCC(=O)NC1=NN=C(C)S1	COCC(=O)Nc1nnc(C)s1	COCC(=O)Nc1nnc(C)s1	12	XCHEM:Z263785508
CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1	CCn1cc(CNC(=O)c2cccnc2)cn1	CCn1cc(CNC(=O)c2cccnc2)cn1	17	XCHEM:Z275181224
COC=1C=CC(NC=2N=CN=C3NC=NC23)=CC1	COc1ccc(Nc2ncnc3[nH]cnc23)cc1	COc1ccc(Nc2ncnc3[nH]cnc23)cc1	18	XCHEM:Z276545932
CN1CCN(CC1)C(=O)C2CCCN2	CN1CCN(C(=O)C2CCCN2)CC1	CN1CCN(C(=O)C2CCCN2)CC1	14	XCHEM:Z241832786
ClC=1C=CC(=CC1)C(=O)N2CCSCC2	O=C(c1ccc(Cl)cc1)N1CCSCC1	O=C(c1ccc(Cl)cc1)N1CCSCC1	15	XCHEM:Z437584380
CCC1=CC=C(S1)C(=O)NCC=2C=NN(C)C2	CCc1ccc(C(=O)NCc2cnn(C)c2)s1	CCc1ccc(C(=O)NCc2cnn(C)c2)s1	17	XCHEM:Z804566442
NC(=O)C1CCN(CCC=2C=CC=CC2)CC1	NC(=O)C1CCN(CCc2ccccc2)CC1	NC(=O)C1CCN(CCc2ccccc2)CC1	17	XCHEM:Z2856434897
O=C(N1CCCCCC1)C=2C=CC=3OCOC3C2	O=C(c1ccc2c(c1)OCO2)N1CCCCCC1	O=C(c1ccc2c(c1)OCO2)N1CCCCCC1	18	XCHEM:Z31432226
NC(=O)C=1C=CC(OCC=2C=CC=CC2)=CC1	NC(=O)c1ccc(OCc2ccccc2)cc1	NC(=O)c1ccc(OCc2ccccc2)cc1	17	XCHEM:Z26312102
O[C@@H]1CCN(CC=2C=CC(Cl)=CC2)C1	O[C@@H]1CCN(Cc2ccc(Cl)cc2)C1	OC1CCN(Cc2ccc(Cl)cc2)C1	14	XCHEM:Z2856434858
